assigned gene	MIPS Description	p-value	p-value	p-value
YLL018C-A	similarity to hypothetical S. pombe protein (YEB7)	5.90E-02	3.10E-01	8.10E-01
YLL019C	ser/thr protein kinase	8.60E-02	9.80E-02	2.40E-01
YLL020C	questionable ORF	8.60E-02	9.80E-02	2.40E-01
YLL021W	involved in cell polarity	3.30E-01	3.50E-01	7.80E-01
YLL022C	HAT1 Interacting Factor 1	3.30E-01	3.50E-01	7.80E-01
YLL023C	similarity to hypothetical protein YLR064w	6.90E-01	8.80E-01	1.00E+00
YLL024C	"heat shock protein of HSP70 family, cytosolic"	5.40E-01	1.80E-01	5.10E-01
YLL025W	strong similarity to members of the SRP1P/TIP1P family	3.70E-01	9.20E-01	5.80E-01
YLL026W	heat shock protein	7.50E-01	2.30E-01	7.50E-01
YLL027W	mitochondrial protein required for normal iron metabolism	9.70E-01	4.80E-01	8.70E-01
YLL028W	polyamine transport protein	5.10E-01	1.40E-01	8.40E-01
YLL029W	similarity to M.jannaschii X-Pro dipeptidase and S.pombe hypothetical protein	7.20E-01	8.00E-01	9.20E-01
YLL030C	hypothetical protein	7.20E-01	8.00E-01	9.20E-01
YLL031C	protein involved in glycosylphosphatidylinositol biosynthesis	1.00E+00	1.00E+00	1.00E+00
YLL032C	similarity to hypothetical protein SPAC9B6.13 S. pombe	5.00E-01	7.70E-01	1.00E+00
YLL033W	hypothetical protein	2.20E-02	9.30E-01	6.30E-02
YLL034C	similarity to mammalian valosin	2.20E-02	9.30E-01	6.30E-02
YLL035W	similarity to S. pombe SPCC830.03 protein of unknown function	6.70E-01	9.50E-01	3.30E-01
YLL036C	non-snRNP sliceosome component required for DNA repair	6.70E-01	9.50E-01	3.30E-01
YLL037W	weak similarity to human platelet-activating factor receptor	2.90E-01	8.50E-01	2.90E-01
YLL038C	weak similarity to YJR125c and YDL161w	6.70E-01	9.50E-01	3.30E-01
YLL039C	ubiquitin	2.90E-01	8.50E-01	2.90E-01
YLL040C	involved in regulating membrane traffic	8.70E-01	8.50E-01	6.90E-01
YLL041C	succinate dehydrogenase iron-sulfur protein subunit	1.60E-01	7.10E-01	5.90E-01
YLL042C	protein-conjugating enzyme essential for autophagy	8.50E-01	7.20E-01	5.60E-01
YLL043W	glycerol channel protein	9.30E-01	8.90E-01	5.50E-01
YLL044W		4.20E-01	5.90E-01	7.60E-01
YLL045C	60s large subunit ribosomal protein L7a.e.B	9.30E-01	8.90E-01	5.50E-01
YLL046C	ribonucleoprotein	4.20E-01	5.90E-01	7.60E-01
YLL047W		9.50E-01	8.10E-01	5.50E-01
YLL048C	yeast bile transporter	9.50E-01	8.10E-01	5.50E-01
YLL049W	hypothetical protein	1.00E+00	5.40E-01	4.20E-01
YLL050C	"cofilin, actin binding and severing protein"	1.00E+00	5.40E-01	4.20E-01
YLL051C	strong similarity to ferric reductase FRE2P	1.10E-01	5.00E-01	5.90E-01
YLL052C	strong similarity to AQY1	5.70E-01	6.10E-01	6.40E-01
YLL053C	similarity to water channel proteins	5.70E-01	6.10E-01	6.40E-01
YLL054C	similarity to transcription factor PIP2P	1.90E-01	5.30E-01	3.50E-01
YLL055W	similarity to DAL5P	5.50E-01	9.50E-01	5.60E-01
YLL056C	"weak similarity to Y.pseudotuberculosis CDP-3,6-dideoxy-D-glycero-L-glycero-4-hexulose-5-epimerase"	4.30E-01	7.80E-01	7.40E-01
YLL057C	similarity to E.coli dioxygenase	2.60E-01	6.80E-01	1.30E-01
YLL058W	similarity to N.crassa O-succinylhomoserine (thiol)-lyase	1.60E-01	2.50E-01	7.50E-02
YLL059C	hypothetical protein	1.60E-01	2.50E-01	7.50E-02
YLL060C	glutathione S-transferase	6.70E-01	9.30E-01	4.40E-01
YLL061W	high affinity S-methylmethionine permease	8.60E-01	5.40E-01	3.90E-01
YLL062C	weak similarity to M.leprae metH2 protein	8.60E-01	5.40E-01	3.90E-01
YLL063C	strong similarity to Gibberella zeae trichothecene 3-O-acetyltransferase	3.10E-01	5.40E-01	4.90E-03
YLL064C	strong similarity to members of the SRP1/TIP1P family	7.50E-01	9.60E-01	7.00E-01
YLL065W	"strong similarity to YJR162c, YNR077c, YKL225w and other subtelomeric encoded proteins"	6.20E-01	6.30E-01	1.60E-01
YLL066C	strong similarity to subtelomeric encoded proteins	5.20E-01	7.10E-01	2.90E-01
YLL067C	strong similarity to subtelomeric encoded proteins	6.50E-01	7.30E-01	1.30E-01
YLR001C	weak similarity to hypothetical protein SPAC22H12.05c S. pombe	9.50E-01	6.90E-01	7.30E-01
YLR002C	similarity to hypothetical C. elegans protein	4.00E-01	4.30E-01	2.50E-01
YLR003C	weak similarity to PIR:T39953 hypothetical protein SPBC23G7.07c S. pombe	9.50E-01	7.20E-01	6.50E-01
YLR004C	similarity to allantoate transport protein	7.70E-01	9.00E-01	5.80E-01
YLR005W	"TFIIH subunit (transcription initiation factor), factor B"	7.70E-01	9.00E-01	5.80E-01
YLR006C	two-component signal transducer	6.60E-01	5.70E-01	7.50E-01
YLR007W	hypothetical protein	6.60E-01	5.70E-01	7.50E-01
YLR008C	similarity to hypothetical protein YNL328c	5.70E-01	7.20E-01	5.10E-01
YLR009W	similarity to ribosomal protein L24.e.B	5.70E-01	7.20E-01	5.10E-01
YLR010C	weak similarity to Aquifex aeolicus adenylosuccinate synthetase	9.60E-01	8.60E-01	6.80E-01
YLR011W	weak similarity to E.coli hypothetical 20.4 kDa protein	6.50E-01	6.10E-01	1.00E+00
YLR012C	hypothetical protein	5.20E-01	9.10E-01	1.90E-04
YLR013W	weak similarity to nitrogen regulatory proteins	5.20E-01	9.10E-01	1.90E-04
YLR014C	transcription factor regulating pyrimidine pathway	2.10E-01	1.00E+00	1.00E+00
YLR015W	weak similarity to S.pombe hypothetical protein SPBC13G1	2.10E-01	1.00E+00	1.00E+00
YLR016C	"weak similarity to TRCDSEMBLNEW:AK022615_1 unnamed ORF;,Homo sapiens"	6.80E-01	7.40E-01	1.00E+00
YLR017W	multiple enhancer of UAS2	6.80E-01	7.40E-01	1.00E+00
YLR018C	component of nuclear pore complex (nucleoporin)	9.00E-01	4.40E-01	5.60E-01
YLR019W	plasma membrane phosphatase required for sodium stress response	9.00E-01	4.40E-01	5.60E-01
YLR020C	similarity to triacylglycerol lipase	6.50E-01	1.00E+00	1.00E+00
YLR021W	hypothetical protein	6.50E-01	1.00E+00	1.00E+00
YLR022C	similarity to C.elegans and M.jannaschii hypothetical proteins	8.20E-01	6.70E-01	7.00E-01
YLR023C	similarity to S.pombe hypothetical protein SPAC30D11.11	4.90E-01	1.30E-01	9.80E-01
YLR024C	similarity to ubiquitin--protein ligase UBR1P	3.30E-01	9.50E-01	7.70E-01
YLR025W	class E Vps protein	3.30E-01	9.50E-01	7.70E-01
YLR026C	syntaxin (T-SNARE)	5.10E-01	3.60E-01	6.60E-01
YLR027C	"aspartate aminotransferase, cytosolic"	8.10E-01	8.00E-01	5.40E-01
YLR028C	5-aminoimidazole-4-carboxamide ribotide transformylase	9.20E-01	6.20E-01	7.40E-01
YLR029C	60s large subunit ribosomal protein L15.e.c12	9.50E-01	6.20E-01	7.70E-01
YLR030W	hypothetical protein	9.50E-01	6.20E-01	7.70E-01
YLR031W	similarity to hypothetical protein YMR124w	5.70E-01	1.00E+00	6.60E-01
YLR032W	DNA helicase	3.50E-01	1.20E-01	4.60E-01
YLR033W	hypothetical protein	7.90E-01	1.00E+00	7.60E-01
YLR034C	strong similarity to SMF2 protein and S.pombe hypothetical protein	6.90E-01	6.10E-01	8.90E-01
YLR035C	"similarity to human mutL protein homolog, mouse PMS2, MLH1P and PMS1P"	7.00E-01	7.00E-01	9.70E-01
YLR035C-A		5.00E-01	8.80E-01	3.00E-03
YLR036C	similarity to YIL089w	5.00E-01	5.70E-01	3.30E-01
YLR037C	strong similarity to members of the SRP1P/TIP1P family	4.30E-01	9.30E-01	3.80E-01
YLR038C	"cytochrome-c oxidase, subunit VIB"	4.80E-01	4.70E-01	1.60E-01
YLR039C	involved in transcription of ribosomal proteins and ribosomal RNA	5.50E-01	7.10E-01	8.30E-01
YLR040C	weak similarity to hypothetical protein YIL011w	7.10E-01	4.00E-01	2.50E-01
YLR041W	questionable ORF	5.50E-01	7.10E-01	8.30E-01
YLR042C	hypothetical protein	7.60E-01	7.00E-01	7.40E-01
YLR043C	thioredoxin I	8.20E-01	5.40E-01	1.60E-01
YLR044C	"pyruvate decarboxylase, isozyme 1"	9.10E-01	6.60E-03	7.10E-01
YLR045C	suppressor of a cs tubulin mutation	5.60E-01	5.70E-01	5.80E-02
YLR046C	strong similarity to RTA1P and Rtm1p protein	6.40E-01	3.80E-01	5.30E-01
YLR047C	similarity to hypothetical protein YGL160w	8.50E-01	6.10E-01	1.00E+00
YLR048W	40S ribosomal protein p40 homolog B	8.50E-01	6.10E-01	1.00E+00
YLR049C	hypothetical protein	5.80E-01	4.80E-01	6.10E-04
YLR050C	weak similarity to human MAC30 C-terminus	9.10E-01	5.00E-01	1.00E+00
YLR051C	similarity to human acidic 82 kDa protein	7.30E-01	7.90E-01	5.30E-02
YLR052W	hypothetical protein	7.30E-01	7.90E-01	5.30E-02
YLR053C	hypothetical protein	9.40E-01	3.60E-01	5.70E-01
YLR054C	hypothetical protein	8.10E-01	9.10E-01	5.20E-01
YLR055C	transcriptional adaptor or co-activator	6.90E-01	2.60E-04	3.70E-01
YLR056W	C-5 sterol desaturase	6.90E-01	2.60E-04	3.70E-01
YLR057W	weak similarity to mouse alpha-mannosidase	4.10E-01	3.40E-01	4.50E-02
YLR058C	"serine hydroxymethyltransferase, cytoplasmic"	6.20E-01	6.50E-01	4.50E-01
YLR059C	putative 3'-5' exonuclease	8.20E-01	6.80E-01	1.00E+00
YLR060W	"phenylalanyl-tRNA synthetase, alpha subunit, cytosolic"	8.20E-01	6.80E-01	1.00E+00
YLR061W	ribosomal protein	1.00E+00	1.00E+00	8.30E-01
YLR062C	questionable ORF	7.20E-01	1.00E+00	1.00E+00
YLR063W	hypothetical protein	7.20E-01	1.00E+00	1.00E+00
YLR064W	"weak similarity to Anopheles NADH-ubiquinone oxidoreductase, chain 4"	4.80E-01	1.00E+00	6.20E-01
YLR065C	weak similarity to hypothetical protein A. thaliana	5.10E-01	7.00E-01	7.40E-01
YLR066W	signal peptidase subunit	5.10E-01	7.00E-01	7.40E-01
YLR067C	required for stability and translation of COX1 mRNA	6.30E-01	7.90E-01	1.00E+00
YLR068W	hypothetical protein	6.30E-01	7.90E-01	1.00E+00
YLR069C	"translation elongation factor G, mitochondrial"	2.90E-01	2.60E-01	2.40E-01
YLR070C	strong similarity to sugar dehydrogenases	6.40E-02	2.20E-01	4.80E-01
YLR071C	DNA-directed RNA polymerase II holoenzyme subunit	1.20E-01	7.80E-01	6.30E-01
YLR072W	"similarity to YFL042c, YDR326c and YHR080c"	1.20E-01	7.80E-01	6.30E-01
YLR073C	weak similarity to hypothetical protein S. pombe	5.80E-01	4.10E-01	6.40E-01
YLR074C	weak similarity to human zinc finger protein	6.90E-01	4.70E-01	3.10E-01
YLR075W	60S large subunit ribosomal protein	6.90E-01	4.70E-01	3.10E-01
YLR076C	questionable ORF	3.90E-01	5.90E-01	6.70E-01
YLR077W	weak similarity to Xenopus RCC1 protein	3.90E-01	5.90E-01	6.70E-01
YLR078C	secretory pathway protein	9.70E-03	7.90E-01	3.80E-05
YLR079W	p40 inhibitor of CDC28P-Clb protein kinase complex	9.70E-03	7.90E-01	3.80E-05
YLR080W	strong similarity to EMP47P	7.70E-03	2.80E-01	4.30E-01
YLR081W	galactose (and glucose) permease	8.60E-01	9.30E-01	9.60E-01
YLR082C	weak similarity to phospholipase C	4.90E-01	4.60E-01	7.20E-01
YLR083C	endosomal protein	2.70E-01	5.10E-01	3.20E-01
YLR084C	weak similarity to PST1P	9.20E-01	3.50E-05	9.30E-01
YLR085C	Actin-related protein	2.40E-01	3.00E-01	3.00E-01
YLR086W	Stable Maintenance of Chromosomes	2.40E-01	3.00E-01	3.00E-01
YLR087C	weak similarity to hypothetical protein D. melanogaster	7.20E-02	7.00E-01	7.30E-02
YLR088W	required for attachment of GPI anchor onto proteins	7.20E-02	7.00E-01	7.30E-02
YLR089C	strong similarity to alanine transaminases	2.00E-01	6.10E-01	3.50E-01
YLR090W	similarity to E.coli dnaJ	2.00E-01	6.10E-01	3.50E-01
YLR091W	hypothetical protein	7.80E-01	4.70E-01	7.50E-01
YLR092W	sulfate transporter	5.20E-01	7.40E-01	4.30E-01
YLR093C	"v-SNARE, vacuolar"	1.80E-01	5.00E-01	2.40E-01
YLR094C	hypothetical protein	6.10E-01	1.90E-01	7.10E-01
YLR095C	weak similarity to hypothetical protein C. elegans	4.40E-01	6.40E-01	6.20E-01
YLR096W	ser/thr protein kinase	4.40E-01	6.40E-01	6.20E-01
YLR097C	weak similarity to H. sapiens F-box protein	3.00E-01	7.10E-01	2.70E-01
YLR098C	transcription factor	8.80E-01	8.10E-01	7.10E-01
YLR099C	similarity to YDR125c	3.00E-01	5.40E-01	4.90E-01
YLR100W	3-keto sterol reductase	3.00E-01	5.40E-01	4.90E-01
YLR101C	questionable ORF	7.90E-01	5.60E-01	1.00E+00
YLR102C	subunit of the Anaphase Promoting Complex	7.90E-01	5.60E-01	1.00E+00
YLR103C	required for minichromosome maintenance and initiation of chromosomal DNA replication	4.80E-01	5.60E-01	4.80E-01
YLR104W	hypothetical protein	4.80E-01	5.60E-01	4.80E-01
YLR105C	tRNA splicing endonuclease beta subunit	3.70E-01	5.70E-01	6.10E-03
YLR106C	similarity to Kaposi's sarcoma-associated herpes-like virus ORF73 homolog gene	9.30E-01	7.90E-01	7.20E-01
YLR107W	"RNA exonuclease, member of the family of 3' -5' exonucleases"	9.30E-01	7.90E-01	7.20E-01
YLR108C	strong similarity to YDR132c	4.50E-01	6.80E-02	9.70E-01
YLR109W	Alkyl hydroperoxide reductase	4.50E-01	6.80E-02	9.70E-01
YLR110C	strong similarity to FLO1P	1.80E-01	1.00E+00	3.60E-01
YLR111W	hypothetical protein	1.80E-01	1.00E+00	3.60E-01
YLR112W	hypothetical protein	1.00E+00	1.00E+00	1.00E+00
YLR113W	ser/thr protein kinase of MAP kinase (MAPK) family	2.80E-02	2.30E-02	4.70E-01
YLR114C	similarity to C.elegans hypothetical protein and YOR054c	5.10E-01	7.40E-01	4.30E-01
YLR115W	"cleavage and polyadenylation specificity factor, part of CF II"	5.10E-01	7.40E-01	4.30E-01
YLR116W	branch point bridging protein	6.80E-01	4.90E-01	6.40E-01
YLR117C	strong similarity to Drosophila putative cell cycle control protein crn	2.80E-01	7.60E-01	6.80E-01
YLR118C	similarity to several esterases	8.00E-02	3.60E-01	1.00E+00
YLR119W	suppressor of RNA1-1 mutation	8.00E-02	3.60E-01	1.00E+00
YLR120C	aspergillopepsin	8.60E-02	5.50E-02	4.30E-01
YLR121C	GPI-anchored aspartyl protease 3 (yapsin 3)	4.50E-01	7.40E-03	8.80E-01
YLR122C	hypothetical protein	2.40E-01	5.60E-01	4.90E-01
YLR123C	questionable ORF	2.40E-01	5.60E-01	4.90E-01
YLR124W	hypothetical protein	2.40E-01	5.60E-01	4.90E-01
YLR125W	hypothetical protein	1.30E-01	9.30E-01	4.20E-01
YLR126C	weak similarity to P.aeruginosa anthranilate synthase component II	1.70E-01	4.90E-01	1.00E+00
YLR127C	component of the anaphase promoting complex	2.20E-01	5.80E-01	2.30E-01
YLR128W	similarity to S.pombe hypothetical protein SPBC24E9	2.20E-01	5.80E-01	2.30E-01
YLR129W	DOM34P-interacting protein	9.40E-02	3.80E-01	4.60E-01
YLR130C	low affininty zinc transporter	1.60E-01	5.50E-01	8.20E-02
YLR131C	metallothionein expression activator	6.30E-01	6.20E-01	4.70E-01
YLR132C	hypothetical protein	1.00E-01	6.60E-01	2.50E-01
YLR133W	choline kinase	1.00E-01	6.60E-01	2.50E-01
YLR134W	"pyruvate decarboxylase, isozyme 2"	7.60E-01	7.40E-01	7.60E-01
YLR135W	"subunit of SLX1P/Ybr228p-SLX4P complex, required for cell growth in the absence of SGS1 or TOP3"	2.10E-01	5.40E-01	3.20E-01
YLR136C	tRNA-specific adenosine deaminase 3	2.60E-01	4.00E-01	1.70E-01
YLR137W	weak similarity to hypothetical S.pombe protein SPCC4G3	2.60E-01	4.00E-01	1.70E-01
YLR138W	putative Na+/H+ antiporter	6.60E-01	4.00E-01	6.40E-01
YLR139C	suppresses lethality of SSM4 deletion	3.60E-01	6.00E-03	6.00E-01
YLR140W	questionable ORF	4.80E-01	5.50E-01	1.00E+00
YLR141W	RNA polymerase I specific transcription initiation factor	4.80E-01	5.50E-01	1.00E+00
YLR142W	proline oxidase	3.60E-01	6.00E-03	6.00E-01
YLR143W	weak similarity to Pyrococcus horikoshii hypothetical protein PHBJ017	9.50E-01	5.40E-01	6.30E-01
YLR144C	necessary for cortical actin assembly	1.00E+00	1.00E+00	1.00E+00
YLR145W	hypothetical protein	1.00E+00	1.00E+00	1.00E+00
YLR146C	spermine synthase	2.40E-01	7.20E-01	3.30E-01
YLR147C	spliceosomal snRNA-associated Sm core protein required for pre-mRNA splicing	1.00E+00	6.30E-01	1.00E+00
YLR148W	vacuolar membrane protein	1.00E+00	6.30E-01	1.00E+00
YLR149C	weak similarity to hypothetical protein SPCC4G3.03 S. pombe	7.80E-01	7.10E-01	4.10E-01
YLR150W	specific affinity for guanine-rich quadruplex nucleic acids	7.80E-01	7.10E-01	4.10E-01
YLR151C	"peroxisomal nudix hydrolase, has diphosphatase activity specific for coenzyme A and CoA derivatives"	7.80E-01	5.40E-01	1.00E+00
YLR152C	similarity to YOR3165w and YNL095c	7.00E-01	3.30E-01	8.00E-01
YLR153C	acetyl-coenzyme A synthetase	3.30E-01	1.80E-02	4.40E-01
YLR154C	hypothetical protein	5.30E-01	6.20E-01	1.20E-01
YLR155C	L-asparaginase II	7.10E-01	8.50E-01	2.50E-02
YLR156W	identical to hypothetical proteins YLR161w and YLR159w	7.10E-01	8.50E-01	2.50E-02
YLR157C	L-asparaginase II	7.40E-01	8.10E-01	5.50E-01
YLR157C-A		3.00E-01	2.30E-01	4.10E-01
YLR157C-B		3.00E-01	2.30E-01	4.10E-01
YLR158C	L-asparaginase II	3.00E-01	2.30E-01	4.10E-01
YLR159W	identical to hypothetical proteins YLR161w and YLR156w	6.60E-01	7.20E-01	5.40E-01
YLR160C	L-asparaginase II	3.30E-01	4.90E-01	5.30E-01
YLR161W	identical to hypothetical proteins YLR156w and YLR159w	5.90E-01	8.10E-01	5.70E-01
YLR162W	hypothetical protein	5.90E-01	8.10E-01	5.70E-01
YLR163C	mitochondrial processing peptidase	5.70E-01	7.00E-01	8.60E-01
YLR164W	strong similarity to SDH4P	5.70E-01	7.00E-01	8.60E-01
YLR165C	weak similarity to H.influenzae hypothetical protein HI0176	3.40E-01	8.20E-01	7.20E-01
YLR166C	required for exocytosis	8.70E-01	5.30E-01	4.10E-01
YLR167W	ubiquitin/40S small subunit ribosomal protein	8.70E-01	5.30E-01	4.10E-01
YLR168C	probably involved in intramitochondrial protein sorting	7.80E-01	3.40E-01	5.90E-01
YLR169W	questionable ORF	7.80E-01	3.40E-01	5.90E-01
YLR170C	"AP-1 complex subunit, sigma1 subunit, 18 KD"	6.20E-01	1.00E+00	6.40E-01
YLR171W	questionable ORF	7.80E-01	3.40E-01	5.90E-01
YLR172C	diphthamide methyltransferase	4.00E-01	6.00E-01	4.20E-01
YLR173W	hypothetical protein	4.00E-01	6.00E-01	4.20E-01
YLR174W	"isocitrate dehydrogenase, cytosolic"	5.10E-01	6.70E-01	8.60E-01
YLR175W	putative rRNA pseuduridine synthase	6.10E-01	3.70E-01	6.20E-01
YLR176C	repressor of DNA damage-inducible genes	4.90E-01	7.40E-01	3.10E-01
YLR177W	similarity to suppressor protein Psp5p	4.90E-01	7.40E-01	3.10E-01
YLR178C	CDC25-dependent nutrient- and ammonia-response cell-cycle regulator	8.40E-01	7.40E-01	4.90E-01
YLR179C	similarity to TFS1P	5.60E-01	1.40E-01	7.30E-01
YLR180W	S-adenosylmethionine synthetase 1	5.60E-01	1.40E-01	7.30E-01
YLR181C	hypothetical protein	7.30E-01	5.70E-01	5.10E-01
YLR182W	transcription factor	7.30E-01	5.70E-01	5.10E-01
YLR183C	similarity to YDR501w	7.00E-01	3.70E-01	1.00E+00
YLR184W	weak similarity to ribulose-bisphosphate carboxylase	7.00E-01	3.70E-01	1.00E+00
YLR185W	ribosomal protein L37.e	9.40E-01	3.10E-02	4.80E-01
YLR186W	strong similarity to S.pombe hypothetical protein C18G6.07C	6.90E-01	3.30E-01	7.50E-01
YLR187W	similarity to hypothetical protein YNL278w	5.00E-01	3.60E-01	4.20E-01
YLR188W	ATP-binding cassette transporter family member	9.50E-01	6.50E-01	4.20E-01
YLR189C	sterol glucosyltransferase (UDP-glucose:sterol glucosyltransferase)	5.90E-01	2.30E-01	8.70E-01
YLR190W	hypothetical protein	5.90E-01	2.30E-01	8.70E-01
YLR191W	peroxisomal protein involved in protein import - peroxin	6.90E-01	5.30E-01	3.60E-01
YLR192C	"component of translation initiation factor eIF3, has similarity to human eIF3 p35 subunit"	4.90E-01	5.50E-01	4.50E-01
YLR193C	similarity to G.gallus px19 and MSF1P	9.00E-01	5.10E-01	3.50E-01
YLR194C	hypothetical protein	4.10E-01	5.50E-01	1.50E-07
YLR195C	N-myristoyltransferase	8.40E-01	8.60E-01	6.80E-01
YLR196W	similarity to human IEF SSP 9502 protein	8.40E-01	8.60E-01	6.80E-01
YLR197W	involved in pre-rRNA processing	9.30E-01	7.10E-01	2.80E-01
YLR198C	questionable ORF	9.50E-01	9.10E-01	1.00E+00
YLR199C	hypothetical protein	4.90E-01	6.90E-01	1.50E-01
YLR200W	Gim complex component	4.90E-01	6.90E-01	1.50E-01
YLR201C	similarity to hypothetical S. pombe protein	2.40E-01	7.90E-01	7.90E-02
YLR202C	questionable ORF	2.40E-01	7.90E-01	7.90E-02
YLR203C	possibly involved in translational activation of COX1 and COB mRNA	2.40E-01	7.90E-01	7.90E-02
YLR204W	weak similarity to YOR309c	2.40E-01	7.90E-01	7.90E-02
YLR205C	hypothetical protein	1.20E-01	2.60E-01	3.40E-02
YLR206W	"clathrin binding protein, required for endocytosis"	1.20E-01	2.60E-01	3.40E-02
YLR207W	involved in degradation of HMG2P	7.00E-02	6.00E-01	8.40E-07
YLR208W	protein transport protein	4.40E-01	8.40E-01	2.30E-01
YLR209C	strong similarity to purine-nucleoside phosphorylases	4.60E-01	7.10E-01	6.50E-01
YLR210W	"cyclin, G2/M-specific"	4.60E-01	7.10E-01	6.50E-01
YLR211C	hypothetical protein	2.20E-01	6.90E-01	5.10E-01
YLR212C	gamma tubulin	6.90E-01	3.50E-01	2.60E-01
YLR213C	similarity to CRH1P cell wall protein	8.20E-01	6.10E-01	5.30E-01
YLR214W	ferric (and cupric) reductase	8.20E-01	6.10E-01	5.30E-01
YLR215C	strong similarity to rat cell cycle progression related D123 protein	6.10E-01	4.90E-01	5.10E-01
YLR216C	member of the cyclophilin family	7.80E-01	5.40E-01	7.40E-01
YLR217W	questionable ORF	6.10E-01	4.90E-01	5.10E-01
YLR218C	similarity to PIR:T41376 hypothetical protein S. pombe	4.60E-01	5.20E-01	4.40E-01
YLR219W	hypothetical protein	4.60E-01	5.20E-01	4.40E-01
YLR220W	involved in calcium regulation	9.10E-01	3.60E-01	5.60E-01
YLR221C	hypothetical protein	9.00E-01	4.40E-01	8.40E-01
YLR222C	similarity to DIP2P	3.80E-01	7.70E-01	2.60E-01
YLR223C	pre-rRNA processing machinery control protein	7.80E-01	7.30E-01	9.00E-01
YLR224W	hypothetical protein	7.80E-01	7.30E-01	9.00E-01
YLR225C	strong similarity to YDR222w	8.50E-01	7.10E-01	7.40E-01
YLR226W	divergent CDK-cyclin complex	8.50E-01	7.10E-01	7.40E-01
YLR227C	hypothetical protein	7.40E-01	7.90E-01	5.90E-01
YLR227W-A		6.20E-01	2.10E-01	5.60E-01
YLR227W-B		6.20E-01	2.10E-01	5.60E-01
YLR228C	"strong similarity to YDR213w, weak similarity to LYS14P"	6.90E-01	7.60E-01	7.30E-01
YLR229C	GTP-binding protein of RAS superfamily	9.90E-01	6.50E-01	9.60E-01
YLR230W	questionable ORF	8.10E-01	4.90E-01	6.30E-01
YLR231C	strong similarity to rat kynureninase	7.40E-01	1.00E+00	1.00E+00
YLR232W	questionable ORF	7.40E-01	3.10E-01	5.20E-01
YLR233C	telomere elongation protein	3.70E-01	2.00E-01	3.90E-01
YLR234W	DNA topoisomerase III	3.70E-01	2.00E-01	3.90E-01
YLR235C	questionable ORF	1.00E+00	5.50E-01	7.80E-01
YLR236C	hypothetical protein	1.00E+00	5.50E-01	7.80E-01
YLR237W	thiamin transport protein	1.00E+00	5.50E-01	7.80E-01
YLR238W	similarity to YDR200c	6.90E-01	2.00E-01	1.00E+00
YLR239C	lipoic acid ligase	7.40E-02	6.10E-01	4.90E-01
YLR240W	phosphatidylinositol 3-kinase	7.40E-02	6.10E-01	4.90E-01
YLR241W	similarity to hypothetical S.pombe protein SPAC2G11.09	8.80E-01	6.60E-01	6.00E-01
YLR242C	involved in sterol uptake and distribution into the plasma membrane	7.50E-01	6.80E-01	5.70E-01
YLR243W	strong similarity to YOR262w	7.50E-01	6.80E-01	5.70E-01
YLR244C	"methionine aminopeptidase, isoform 1"	5.70E-01	1.00E+00	2.90E-01
YLR245C	cytidine deaminase	7.00E-01	8.00E-01	1.00E+00
YLR246W	protein involved in palmitoylation and localization of RAS2P	7.00E-01	8.00E-01	1.00E+00
YLR247C	similarity to S.pombe rad8 protein and RDH54P	4.10E-01	1.00E+00	3.70E-01
YLR248W	Ca/calmodulin-dependent ser/thr protein kinase	4.10E-01	1.00E+00	3.70E-01
YLR249W	translation elongation factor eEF3	9.10E-01	8.10E-01	1.00E+00
YLR250W	secretory protein	7.30E-01	1.00E+00	5.30E-01
YLR251W	similarity to peroxisomal rat membrane protein PMP22	2.80E-01	7.70E-01	1.90E-02
YLR252W	questionable ORF	2.80E-01	7.70E-01	1.90E-02
YLR253W	weak similarity to bacterial aminoglycoside acetyltransferase regulators	1.00E+00	1.00E+00	1.00E+00
YLR254C	weak similarity to PIR:T10472 G-box binding protein 2A Sinapis alba	8.60E-01	4.40E-01	5.30E-01
YLR255C	hypothetical protein	4.50E-02	9.60E-04	3.10E-01
YLR256W	transcription factor	4.50E-02	9.60E-04	3.10E-01
YLR256W-A		4.50E-02	9.60E-04	3.10E-01
YLR257W	hypothetical protein	3.90E-01	4.70E-01	7.40E-01
YLR258W	"UDP-glucose--starch glucosyltransferase, isoform 2"	6.50E-02	8.10E-01	8.70E-01
YLR259C	"heat shock protein - chaperone, mitochondrial"	6.30E-01	8.70E-01	7.50E-01
YLR260W	sphingolipid long chain base kinase	6.30E-01	8.70E-01	7.50E-01
YLR261C	questionable ORF	5.70E-01	9.20E-01	4.80E-01
YLR262C	GTP-binding protein of the rab family	5.70E-01	9.20E-01	4.80E-01
YLR262C-A	strong similarity to F49C12.11 (Z68227_K) from C. elegans	1.70E-01	6.30E-01	8.50E-02
YLR263W	meiosis-specific protein	1.70E-01	6.30E-01	8.50E-02
YLR264W	40S small subunit ribosomal protein S28.e.c12	9.00E-01	1.00E+00	7.00E-01
YLR265C	hypothetical protein	1.00E+00	5.10E-01	1.00E+00
YLR266C	weak similarity to transcription factors	4.50E-01	2.80E-01	6.40E-01
YLR267W	hypothetical protein	4.50E-01	2.80E-01	6.40E-01
YLR268W	synaptobrevin (V-SNARE)	3.60E-01	7.80E-01	6.60E-01
YLR269C	questionable ORF	3.20E-02	1.20E-01	5.60E-02
YLR270W	strong similarity to YOR173w	3.60E-01	7.80E-01	6.60E-01
